defined_class,datum,datum_label,var1,var1_label,var2,var2_label,var3,var3_label,acs_var_id,acs_label,acs_concept
#,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001008,age category,SRPDIO:1001001,disability status,B26208_001E,Estimate!!Total,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001008,age category,SRPDIO:1001035,with a disability/with any disability,B26208_002E,Estimate!!Total!!With a disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001008,age category,SRPDIO:1001034,no disability,B26208_003E,Estimate!!Total!!No disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001063,under 18 years,SRPDIO:1001001,disability status,B26208_004E,Estimate!!Total!!Population under 18 years,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001063,under 18 years,SRPDIO:1001035,with a disability/with any disability,B26208_005E,Estimate!!Total!!Population under 18 years!!With a disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001063,under 18 years,SRPDIO:1001034,no disability,B26208_006E,Estimate!!Total!!Population under 18 years!!No disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001065,18 to 64 years,SRPDIO:1001001,disability status,B26208_007E,Estimate!!Total!!Population 18 to 64 years,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001065,18 to 64 years,SRPDIO:1001035,with a disability/with any disability,B26208_008E,Estimate!!Total!!Population 18 to 64 years!!With a disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001065,18 to 64 years,SRPDIO:1001034,no disability,B26208_009E,Estimate!!Total!!Population 18 to 64 years!!No disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001079,65 years and over,SRPDIO:1001001,disability status,B26208_010E,Estimate!!Total!!Population 65 years and over,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001079,65 years and over,SRPDIO:1001035,with a disability/with any disability,B26208_011E,Estimate!!Total!!Population 65 years and over!!With a disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001079,65 years and over,SRPDIO:1001034,no disability,B26208_012E,Estimate!!Total!!Population 65 years and over!!No disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001008,age category,SRPDIO:1001001,disability status,B26208_013E,Estimate!!Total!!Group quarters population,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001008,age category,SRPDIO:1001035,with a disability/with any disability,B26208_014E,Estimate!!Total!!Group quarters population!!With a disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001008,age category,SRPDIO:1001034,no disability,B26208_015E,Estimate!!Total!!Group quarters population!!No disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001063,under 18 years,SRPDIO:1001001,disability status,B26208_016E,Estimate!!Total!!Group quarters population!!Population under 18 years,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001063,under 18 years,SRPDIO:1001035,with a disability/with any disability,B26208_017E,Estimate!!Total!!Group quarters population!!Population under 18 years!!With a disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001063,under 18 years,SRPDIO:1001034,no disability,B26208_018E,Estimate!!Total!!Group quarters population!!Population under 18 years!!No disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001065,18 to 64 years,SRPDIO:1001001,disability status,B26208_019E,Estimate!!Total!!Group quarters population!!Population 18 to 64 years,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001065,18 to 64 years,SRPDIO:1001035,with a disability/with any disability,B26208_020E,Estimate!!Total!!Group quarters population!!Population 18 to 64 years!!With a disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001065,18 to 64 years,SRPDIO:1001034,no disability,B26208_021E,Estimate!!Total!!Group quarters population!!Population 18 to 64 years!!No disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001079,65 years and over,SRPDIO:1001001,disability status,B26208_022E,Estimate!!Total!!Group quarters population!!Population 65 years and over,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001079,65 years and over,SRPDIO:1001035,with a disability/with any disability,B26208_023E,Estimate!!Total!!Group quarters population!!Population 65 years and over!!With a disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001079,65 years and over,SRPDIO:1001034,no disability,B26208_024E,Estimate!!Total!!Group quarters population!!Population 65 years and over!!No disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001096,institutionalized group quarters,SRPDIO:1001008,age category,SRPDIO:1001001,disability status,B26208_025E,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001096,institutionalized group quarters,SRPDIO:1001008,age category,SRPDIO:1001035,with a disability/with any disability,B26208_026E,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!With a disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001096,institutionalized group quarters,SRPDIO:1001008,age category,SRPDIO:1001034,no disability,B26208_027E,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!No disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001096,institutionalized group quarters,SRPDIO:1001063,under 18 years,SRPDIO:1001001,disability status,B26208_028E,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!Population under 18 years,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001096,institutionalized group quarters,SRPDIO:1001063,under 18 years,SRPDIO:1001035,with a disability/with any disability,B26208_029E,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!Population under 18 years!!With a disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001096,institutionalized group quarters,SRPDIO:1001063,under 18 years,SRPDIO:1001034,no disability,B26208_030E,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!Population under 18 years!!No disability,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
#,SRPDIO:1000007,number of people,SRPDIO:1001096,institutionalized group quarters,SRPDIO:1001065,18 to 64 years,SRPDIO:1001001,disability status,B26208_031E,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!Population 18 to 64 years,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS
