defined_class,datum,datum_label,var1,var1_label,var2,var2_label,var3,var3_label,var4,var4_label,acs_var_id,acs_label,acs_concept
SRPDIO:2010647,SRPDIO:1000000,number of people,SRPDIO:1001016,poverty status,PATO:0001894,phenotypic sex,SRPDIO:1001024,labor force status,SRPDIO:1001003,employment status,B17005_001E,Estimate!!Total,
SRPDIO:2010648,SRPDIO:1000000,number of people,SRPDIO:1001103,income in the past 12 months below poverty level,PATO:0001894,phenotypic sex,SRPDIO:1001024,labor force status,SRPDIO:1001003,employment status,B17005_002E,Estimate!!Total!!Income in the past 12 months below poverty level,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010649,SRPDIO:1000000,number of people,SRPDIO:1001103,income in the past 12 months below poverty level,PATO:0000384,male,SRPDIO:1001024,labor force status,SRPDIO:1001003,employment status,B17005_003E,Estimate!!Total!!Income in the past 12 months below poverty level!!Male,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010650,SRPDIO:1000000,number of people,SRPDIO:1001103,income in the past 12 months below poverty level,PATO:0000383,female,SRPDIO:1001024,labor force status,SRPDIO:1001003,employment status,B17005_008E,Estimate!!Total!!Income in the past 12 months below poverty level!!Female,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010651,SRPDIO:1000000,number of people,SRPDIO:1001103,income in the past 12 months below poverty level,PATO:0000384,male,SRPDIO:1001114,in labor force,SRPDIO:1001003,employment status,B17005_004E,Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!In labor force,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010652,SRPDIO:1000000,number of people,SRPDIO:1001103,income in the past 12 months below poverty level,PATO:0000384,male,SRPDIO:1001114,in labor force,SRPDIO:1001043,employed,B17005_005E,Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!In labor force!!Employed,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010653,SRPDIO:1000000,number of people,SRPDIO:1001103,income in the past 12 months below poverty level,PATO:0000384,male,SRPDIO:1001114,in labor force,SRPDIO:1001044,unemployed,B17005_006E,Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!In labor force!!Unemployed,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010654,SRPDIO:1000000,number of people,SRPDIO:1001103,income in the past 12 months below poverty level,PATO:0000384,male,SRPDIO:1001128,not in labor force,SRPDIO:1001187,not employed because not in labor force,B17005_007E,Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!Not in labor force,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010655,SRPDIO:1000000,number of people,SRPDIO:1001103,income in the past 12 months below poverty level,PATO:0000383,female,SRPDIO:1001114,in labor force,SRPDIO:1001003,employment status,B17005_009E,Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!In labor force,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010656,SRPDIO:1000000,number of people,SRPDIO:1001103,income in the past 12 months below poverty level,PATO:0000383,female,SRPDIO:1001114,in labor force,SRPDIO:1001043,employed,B17005_010E,Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!In labor force!!Employed,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010657,SRPDIO:1000000,number of people,SRPDIO:1001103,income in the past 12 months below poverty level,PATO:0000383,female,SRPDIO:1001114,in labor force,SRPDIO:1001044,unemployed,B17005_011E,Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!In labor force!!Unemployed,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010658,SRPDIO:1000000,number of people,SRPDIO:1001103,income in the past 12 months below poverty level,PATO:0000383,female,SRPDIO:1001128,not in labor force,SRPDIO:1001187,not employed because not in labor force,B17005_012E,Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!Not in labor force,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010659,SRPDIO:1000000,number of people,SRPDIO:1001104,income in the past 12 months at or above poverty level,PATO:0001894,phenotypic sex,SRPDIO:1001024,labor force status,SRPDIO:1001003,employment status,B17005_013E,Estimate!!Total!!Income in the past 12 months at or above poverty level,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010660,SRPDIO:1000000,number of people,SRPDIO:1001104,income in the past 12 months at or above poverty level,PATO:0000384,male,SRPDIO:1001024,labor force status,SRPDIO:1001003,employment status,B17005_014E,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010661,SRPDIO:1000000,number of people,SRPDIO:1001104,income in the past 12 months at or above poverty level,PATO:0000383,female,SRPDIO:1001024,labor force status,SRPDIO:1001003,employment status,B17005_019E,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010662,SRPDIO:1000000,number of people,SRPDIO:1001104,income in the past 12 months at or above poverty level,PATO:0000384,male,SRPDIO:1001114,in labor force,SRPDIO:1001003,employment status,B17005_015E,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!In labor force,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010663,SRPDIO:1000000,number of people,SRPDIO:1001104,income in the past 12 months at or above poverty level,PATO:0000384,male,SRPDIO:1001114,in labor force,SRPDIO:1001043,employed,B17005_016E,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!In labor force!!Employed,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010664,SRPDIO:1000000,number of people,SRPDIO:1001104,income in the past 12 months at or above poverty level,PATO:0000384,male,SRPDIO:1001114,in labor force,SRPDIO:1001044,unemployed,B17005_017E,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!In labor force!!Unemployed,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010665,SRPDIO:1000000,number of people,SRPDIO:1001104,income in the past 12 months at or above poverty level,PATO:0000384,male,SRPDIO:1001128,not in labor force,SRPDIO:1001187,not employed because not in labor force,B17005_018E,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!Not in labor force,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010666,SRPDIO:1000000,number of people,SRPDIO:1001104,income in the past 12 months at or above poverty level,PATO:0000383,female,SRPDIO:1001114,in labor force,SRPDIO:1001003,employment status,B17005_020E,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!In labor force,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010667,SRPDIO:1000000,number of people,SRPDIO:1001104,income in the past 12 months at or above poverty level,PATO:0000383,female,SRPDIO:1001114,in labor force,SRPDIO:1001043,employed,B17005_021E,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!In labor force!!Employed,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010668,SRPDIO:1000000,number of people,SRPDIO:1001104,income in the past 12 months at or above poverty level,PATO:0000383,female,SRPDIO:1001114,in labor force,SRPDIO:1001044,unemployed,B17005_022E,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!In labor force!!Unemployed,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
SRPDIO:2010669,SRPDIO:1000000,number of people,SRPDIO:1001104,income in the past 12 months at or above poverty level,PATO:0000383,female,SRPDIO:1001128,not in labor force,SRPDIO:1001187,not employed because not in labor force,B17005_023E,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!Not in labor force,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
