defined_class,defined_class_label,chemical,chemical_label,material,material_label,,,,,,,,,,
SRPDIO:1000000,,CHEBI:33628,elemental aluminium,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000001,,CHEBI:36922,elemental antimony,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000002,,CHEBI:35826,elemental arsenic,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000003,,CHEBI:37134,elemental barium,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000004,,CHEBI:33784,elemental beryllium,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000005,,CHEBI:85541,elemental bismuth,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000006,,CHEBI:33609,elemental boron,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000007,,CHEBI:37249,elemental cadmium,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000008,,CHEBI:155919,elemental caesium,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000009,,CHEBI:35155,elemental calcium,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000010,,CHEBI:37265,elemental cerium,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000011,,CHEBI:155866,elemental chromium,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000012,,CHEBI:155865,elemental cobalt,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000013,,CHEBI:37404,elemental copper,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000014,,CHEBI:155920,elemental gallium,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000015,,CHEBI:33970,elemental gold,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000016,,CHEBI:37114,elemental indium,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000017,,CHEBI:82663,elemental iron,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000018,,CHEBI:155921,elemental lanthanum,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000019,,CHEBI:37193,elemental lead,ENVO:00010483,environmental material,,,,,,,,,,
SRPDIO:1000020,,CHEBI:155867,elemental lithium,ENVO:00010483,environmental material,,,,,,,,,,
