Source,SourceDefinition,OriginalLabel,OntologyLabel
waterquality,Concentration of Aluminum in water,Aluminum,
waterquality,Concentration of Barium in water,Barium,
waterquality,Concentration of Beryllium in water,Beryllium,
waterquality,Concentration of Cadmium in water,Cadmium,
waterquality,Concentration of Calcium in water,Calcium,
waterquality,Concentration of Chromium in water,Chromium,
waterquality,Concentration of Cobalt in water,Cobalt,
waterquality,Concentration of Copper in water,Copper,
waterquality,Concentration of Iron in water,Iron,
waterquality,Concentration of Lead in water,Lead,
waterquality,Concentration of Magnesium in water,Magnesium,
waterquality,Concentration of Manganese in water,Manganese,
waterquality,Concentration of Mercury in water,Mercury,
waterquality,Concentration of Molybdenum in water,Molybdenum,
waterquality,Concentration of Nickel in water,Nickel,
waterquality,Concentration of Potassium in water,Potassium,
waterquality,Concentration of Silver in water,Silver,
waterquality,Concentration of Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)] in water,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],
waterquality,Concentration of Sodium in water,Sodium,
waterquality,"Concentration of Sodium, percent total cations in water","Sodium, percent total cations",
waterquality,Concentration of Strontium in water,Strontium,
waterquality,Concentration of Thallium in water,Thallium,
waterquality,Concentration of Vanadium in water,Vanadium,
waterquality,Concentration of Zinc in water,Zinc,
usgs,Concentration of al,al,
usgs,Concentration of as,as,
usgs,Concentration of ba,ba,
usgs,Concentration of be,be,
usgs,Concentration of bi,bi,
usgs,Concentration of ca,ca,
usgs,Concentration of cd,cd,
usgs,Concentration of ce,ce,
usgs,Concentration of co,co,
usgs,Concentration of cr,cr,
usgs,Concentration of cs,cs,
usgs,Concentration of cu,cu,
usgs,Concentration of fe,fe,
usgs,Concentration of ga,ga,
usgs,Concentration of hg,hg,
usgs,Concentration of in,in,
usgs,Concentration of k,k,
usgs,Concentration of la,la,
usgs,Concentration of li,li,
usgs,Concentration of mg,mg,
usgs,Concentration of mn,mn,
usgs,Concentration of mo,mo,
usgs,Concentration of na,na,
usgs,Concentration of nb,nb,
usgs,Concentration of ni,ni,
usgs,Concentration of p,p,
usgs,Concentration of pb,pb,
usgs,Concentration of rb,rb,
usgs,Concentration of s,s,
usgs,Concentration of sb,sb,
usgs,Concentration of sc,sc,
usgs,Concentration of se,se,
usgs,Concentration of sn,sn,
usgs,Concentration of sr,sr,
usgs,Concentration of te,te,
usgs,Concentration of th,th,
usgs,Concentration of ti,ti,
usgs,Concentration of tl,tl,
usgs,Concentration of u,u,
usgs,Concentration of v,v,
usgs,Concentration of w,w,
usgs,Concentration of y,y,
usgs,Concentration of zn,zn,
grplant,Brassica Vegetables,aluminum,
grplant,Bulb Vegetables,aluminum,
grplant,Fruiting Vegetables,aluminum,
grplant,Herbs,aluminum,
grplant,Leafy,aluminum,
grplant,Legumes,aluminum,
grplant,Other,aluminum,
grplant,Root and Tuber Vegetables,aluminum,
grplant,,arsenic,
grplant,Brassica Vegetables,arsenic,
grplant,Bulb Vegetables,arsenic,
grplant,Fruiting Vegetables,arsenic,
grplant,Fruits,arsenic,
grplant,Herbs,arsenic,
grplant,Leafy,arsenic,
grplant,Legumes,arsenic,
grplant,Other,arsenic,
grplant,Root and Tuber Vegetables,arsenic,
grplant,,barium,
grplant,Brassica Vegetables,barium,
grplant,Bulb Vegetables,barium,
grplant,Fruiting Vegetables,barium,
grplant,Fruits,barium,
grplant,Herbs,barium,
grplant,Leafy,barium,
grplant,Legumes,barium,
grplant,Other,barium,
grplant,Root and Tuber Vegetables,barium,
grplant,,beryllium,
grplant,Brassica Vegetables,beryllium,
grplant,Bulb Vegetables,beryllium,
grplant,Fruiting Vegetables,beryllium,
grplant,Fruits,beryllium,
grplant,Herbs,beryllium,
grplant,Leafy,beryllium,
grplant,Legumes,beryllium,
grplant,Other,beryllium,
grplant,Root and Tuber Vegetables,beryllium,
grplant,,cadmium,
grplant,Brassica Vegetables,cadmium,
grplant,Bulb Vegetables,cadmium,
grplant,Fruiting Vegetables,cadmium,
grplant,Fruits,cadmium,
grplant,Herbs,cadmium,
grplant,Leafy,cadmium,
grplant,Legumes,cadmium,
grplant,Other,cadmium,
grplant,Root and Tuber Vegetables,cadmium,
grplant,,chromium,
grplant,Brassica Vegetables,chromium,
grplant,Bulb Vegetables,chromium,
grplant,Fruiting Vegetables,chromium,
grplant,Fruits,chromium,
grplant,Herbs,chromium,
grplant,Leafy,chromium,
grplant,Legumes,chromium,
grplant,Other,chromium,
grplant,Root and Tuber Vegetables,chromium,
grplant,,copper,
grplant,Brassica Vegetables,copper,
grplant,Bulb Vegetables,copper,
grplant,Fruiting Vegetables,copper,
grplant,Fruits,copper,
grplant,Herbs,copper,
grplant,Leafy,copper,
grplant,Legumes,copper,
grplant,Other,copper,
grplant,Root and Tuber Vegetables,copper,
grplant,,lead,
grplant,Brassica Vegetables,lead,
grplant,Bulb Vegetables,lead,
grplant,Fruiting Vegetables,lead,
grplant,Fruits,lead,
grplant,Herbs,lead,
grplant,Leafy,lead,
grplant,Legumes,lead,
grplant,Other,lead,
grplant,Root and Tuber Vegetables,lead,
grplant,,manganese,
grplant,Brassica Vegetables,manganese,
grplant,Bulb Vegetables,manganese,
grplant,Fruiting Vegetables,manganese,
grplant,Fruits,manganese,
grplant,Herbs,manganese,
grplant,Leafy,manganese,
grplant,Legumes,manganese,
grplant,Other,manganese,
grplant,Root and Tuber Vegetables,manganese,
grplant,,nickel,
grplant,Brassica Vegetables,nickel,
grplant,Bulb Vegetables,nickel,
grplant,Fruiting Vegetables,nickel,
grplant,Fruits,nickel,
grplant,Herbs,nickel,
