defined_class,datum,datum_label,var1,var1_label,acs_var_id,acs_label,acs_concept
SRPDIO:2010762,SRPDIO:1000002,civilian employed population 16 years and over,ExO:0000034,occupation,B24011_001E,Estimate!!Total,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010763,SRPDIO:1000002,civilian employed population 16 years and over,SRPDIO:1001139,"management, business, science, and arts occupations",B24011_002E,"Estimate!!Total!!Management, business, science, and arts occupations",OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010764,SRPDIO:1000002,civilian employed population 16 years and over,SRPDIO:1001140,"management, business, and financial occupations",B24011_003E,"Estimate!!Total!!Management, business, science, and arts occupations!!Management, business, and financial occupations",OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010765,SRPDIO:1000002,civilian employed population 16 years and over,SRPDIO:1001141,management occupations,B24011_004E,"Estimate!!Total!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010766,SRPDIO:1000002,civilian employed population 16 years and over,SRPDIO:1001142,business and financial operations occupations,B24011_005E,"Estimate!!Total!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010767,SRPDIO:1000002,civilian employed population 16 years and over,SRPDIO:1001143,"computer, engineering, and science occupations",B24011_006E,"Estimate!!Total!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010768,SRPDIO:1000002,civilian employed population 16 years and over,SRPDIO:1001144,computer and mathematical occupations,B24011_007E,"Estimate!!Total!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010769,SRPDIO:1000002,civilian employed population 16 years and over,SRPDIO:1001145,architecture and engineering occupations,B24011_008E,"Estimate!!Total!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010770,SRPDIO:1000002,civilian employed population 16 years and over,SRPDIO:1001146,"life, physical, and social science occupations",B24011_009E,"Estimate!!Total!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010771,SRPDIO:1000002,civilian employed population 16 years and over,SRPDIO:1001147,"education, legal, community service, arts, and media occupations",B24011_010E,"Estimate!!Total!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations",OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010772,SRPDIO:1000002,civilian employed population 16 years and over,SRPDIO:1001148,community and social service occupations,B24011_011E,"Estimate!!Total!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social service occupations",OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010773,SRPDIO:1000002,civilian employed population 16 years and over,SRPDIO:1001149,legal occupations,B24011_012E,"Estimate!!Total!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations",OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010774,SRPDIO:1000002,civilian employed population 16 years and over,SRPDIO:1001150,"educational instruction, and library occupations",B24011_013E,"Estimate!!Total!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Educational instruction, and library occupations",OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
