defined_class,datum,var1,var1_label,acs_var_id,acs_label,acs_concept
SRPDIO:2010678,SRPDIO:1000010,SRPDIO:1001026,ACS race or ethnicity,B19013_001E,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars),MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)
SRPDIO:2010679,SRPDIO:1000010,SRPDIO:1001137,white alone,B19013A_001E,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars),MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER)
SRPDIO:2010680,SRPDIO:1000010,SRPDIO:1001133,black or African American alone,B19013B_001E,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars),MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER)
SRPDIO:2010681,SRPDIO:1000010,SRPDIO:1001131,American Indian and Alaskan native alone,B19013C_001E,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars),MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER)
SRPDIO:2010682,SRPDIO:1000010,SRPDIO_1001132,Asian alone,B19013D_001E,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars),MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER)
SRPDIO:2010683,SRPDIO:1000010,SRPDIO:1001135,native Hawaiian and other Pacific Islander alone,B19013E_001E,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars),MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER)
SRPDIO:2010684,SRPDIO:1000010,SRPDIO:1001136,some other race alone,B19013F_001E,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars),MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE HOUSEHOLDER)
SRPDIO:2010685,SRPDIO:1000010,SRPDIO:1001019,two or more races,B19013G_001E,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars),MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES HOUSEHOLDER)
SRPDIO:2010686,SRPDIO:1000010,SRPDIO:1001138,"white alone, not hispanic or latino",B19013H_001E,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars),"MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)"
SRPDIO:2010687,SRPDIO:1000010,SRPDIO:1001134,hispanic or latino,B19013I_001E,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars),MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER)
