defined_class,datum,var1,var1_label,var2,var2_label,acs_var_id,acs_label,acs_concept
SRPDIO:2010798,SRPDIO:1000002,PATO:0001894,phenotypic sex,ExO:0000034,occupation,B24012_001E,Estimate!!Total,SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010799,SRPDIO:1000002,PATO:0000384,male,ExO:0000034,occupation,B24012_002E,Estimate!!Total!!Male,SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010800,SRPDIO:1000002,PATO:0000384,male,SRPDIO:1001139,"management, business, science, and arts occupations",B24012_003E,"Estimate!!Total!!Male!!Management, business, science, and arts occupations",SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010801,SRPDIO:1000002,PATO:0000384,male,SRPDIO:1001140,"management, business, and financial occupations",B24012_004E,"Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations",SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010802,SRPDIO:1000002,PATO:0000384,male,SRPDIO:1001141,management occupations,B24012_005E,"Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations",SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010803,SRPDIO:1000002,PATO:0000384,male,SRPDIO:1001142,business and financial operations occupations,B24012_006E,"Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations",SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010804,SRPDIO:1000002,PATO:0000384,male,SRPDIO:1001143,"computer, engineering, and science occupations",B24012_007E,"Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations",SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010805,SRPDIO:1000002,PATO:0000384,male,SRPDIO:1001144,computer and mathematical occupations,B24012_008E,"Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations",SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010806,SRPDIO:1000002,PATO:0000384,male,SRPDIO:1001145,architecture and engineering occupations,B24012_009E,"Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations",SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
SRPDIO:2010807,SRPDIO:1000002,PATO:0000384,male,SRPDIO:1001146,"life, physical, and social science occupations",B24012_010E,"Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations",SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER
