defined_class,datum,count_label,var1,var1_label,var2,var2_label,acs_var_id,acs_label,acs_concept
SRPDIO:2010129,SRPDIO:1000000,number of people,SRPDIO:1001006,computing device status,SRPDIO:1001005,internet access,B28003_001E,Estimate!!Total,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010130,SRPDIO:1000000,number of people,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001005,internet access,B28003_002E,Estimate!!Total!!Has a computer,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010131,SRPDIO:1000000,number of people,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001056,with dial-up Internet subscription alone/Dial-up with no other type of Internet subscription,B28003_003E,Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010132,SRPDIO:1000000,number of people,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001054,with a broadband Internet subscription/broadband of any type,B28003_004E,Estimate!!Total!!Has a computer!!With a broadband Internet subscription,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010133,SRPDIO:1000000,number of people,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001060,without an Internet subscription,B28003_005E,Estimate!!Total!!Has a computer!!Without an Internet subscription,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010134,SRPDIO:1000000,number of people,SRPDIO:1001113,no computer,SRPDIO:1001005,internet access,B28003_006E,Estimate!!Total!!No computer,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010135,SRPDIO:1000000,number of people,SRPDIO:1001006,computing device status,SRPDIO:1001005,internet access,B28008_001E,Estimate!!Total,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010136,SRPDIO:1000000,number of people,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001005,internet access,B28008_002E,Estimate!!Total!!Has a computer,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010137,SRPDIO:1000000,number of people,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001056,with dial-up Internet subscription alone/Dial-up with no other type of Internet subscription,B28008_003E,Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010138,SRPDIO:1000000,number of people,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001054,with a broadband Internet subscription/broadband of any type,B28008_004E,Estimate!!Total!!Has a computer!!With a broadband subscription,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010139,SRPDIO:1000000,number of people,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001185,with a fixed broadband Internet subscription,B28008_005E,Estimate!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010140,SRPDIO:1000000,number of people,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001188,with a fixed broadband Internet subscription with a cellular data plan,B28008_006E,Estimate!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription!!With a cellular data plan,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010141,SRPDIO:1000000,number of people,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001189,with a fixed broadband Internet subscription without a cellular data plan,B28008_007E,Estimate!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription!!Without a cellular data plan,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010142,SRPDIO:1000000,number of people,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001190,with a broadband Internet subscription with cellular data plan alone or with dial-up,B28008_008E,Estimate!!Total!!Has a computer!!With a broadband subscription!!Cellular data plan alone or with dial-up,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010143,SRPDIO:1000000,number of people,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001060,without an Internet subscription,B28008_009E,Estimate!!Total!!Has a computer!!Without Internet subscription,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010144,SRPDIO:1000000,number of people,SRPDIO:1001113,no computer,SRPDIO:1001005,internet access,B28008_010E,Estimate!!Total!!No Computer,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD
