defined_class,datum,datum_label,var1,var1_label,var2,var2_label,var3,var3_label,acs_var_id,acs_label,acs_concept
SRPDIO:2010080,SRPDIO:1000009,number of  people living in households,SRPDIO:1001008,age category,SRPDIO:1001006,computing device status,SRPDIO:1001005,internet access,B28005_001E,Estimate!!Total,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010081,SRPDIO:1000009,number of  people living in households,SRPDIO:1001063,under 18 years,SRPDIO:1001006,computing device status,SRPDIO:1001005,internet access,B28005_002E,Estimate!!Total!!Under 18 years,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010082,SRPDIO:1000009,number of  people living in households,SRPDIO:1001063,under 18 years,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001005,internet access,B28005_003E,Estimate!!Total!!Under 18 years!!Has a computer,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010083,SRPDIO:1000009,number of  people living in households,SRPDIO:1001063,under 18 years,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001056,with dial-up Internet subscription alone/Dial-up with no other type of Internet subscription,B28005_004E,Estimate!!Total!!Under 18 years!!Has a computer!!With dial-up Internet subscription alone,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010084,SRPDIO:1000009,number of  people living in households,SRPDIO:1001063,under 18 years,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001054,with a broadband Internet subscription/broadband of any type,B28005_005E,Estimate!!Total!!Under 18 years!!Has a computer!!With a broadband Internet subscription,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010085,SRPDIO:1000009,number of  people living in households,SRPDIO:1001063,under 18 years,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001060,without an Internet subscription,B28005_006E,Estimate!!Total!!Under 18 years!!Has a computer!!Without an Internet subscription,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010086,SRPDIO:1000009,number of  people living in households,SRPDIO:1001063,under 18 years,SRPDIO:1001113,no computer,SRPDIO:1001005,internet access,B28005_007E,Estimate!!Total!!Under 18 years!!No computer,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010087,SRPDIO:1000009,number of  people living in households,SRPDIO:1001065,18 to 64 years,SRPDIO:1001006,computing device status,SRPDIO:1001005,internet access,B28005_008E,Estimate!!Total!!18 to 64 years,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010088,SRPDIO:1000009,number of  people living in households,SRPDIO:1001065,18 to 64 years,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001005,internet access,B28005_009E,Estimate!!Total!!18 to 64 years!!Has a computer,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010089,SRPDIO:1000009,number of  people living in households,SRPDIO:1001065,18 to 64 years,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001056,with dial-up Internet subscription alone/Dial-up with no other type of Internet subscription,B28005_010E,Estimate!!Total!!18 to 64 years!!Has a computer!!With dial-up Internet subscription alone,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010090,SRPDIO:1000009,number of  people living in households,SRPDIO:1001065,18 to 64 years,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001054,with a broadband Internet subscription/broadband of any type,B28005_011E,Estimate!!Total!!18 to 64 years!!Has a computer!!With a broadband Internet subscription,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010091,SRPDIO:1000009,number of  people living in households,SRPDIO:1001065,18 to 64 years,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001060,without an Internet subscription,B28005_012E,Estimate!!Total!!18 to 64 years!!Has a computer!!Without an Internet subscription,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010092,SRPDIO:1000009,number of  people living in households,SRPDIO:1001065,18 to 64 years,SRPDIO:1001113,no computer,SRPDIO:1001005,internet access,B28005_013E,Estimate!!Total!!18 to 64 years!!No computer,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010093,SRPDIO:1000009,number of  people living in households,SRPDIO:1001079,65 years and over,SRPDIO:1001006,computing device status,SRPDIO:1001005,internet access,B28005_014E,Estimate!!Total!!65 years and over,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010094,SRPDIO:1000009,number of  people living in households,SRPDIO:1001079,65 years and over,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001005,internet access,B28005_015E,Estimate!!Total!!65 years and over!!Has a computer,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010095,SRPDIO:1000009,number of  people living in households,SRPDIO:1001079,65 years and over,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001056,with dial-up Internet subscription alone/Dial-up with no other type of Internet subscription,B28005_016E,Estimate!!Total!!65 years and over!!Has a computer!!With dial-up Internet subscription alone,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010096,SRPDIO:1000009,number of  people living in households,SRPDIO:1001079,65 years and over,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001054,with a broadband Internet subscription/broadband of any type,B28005_017E,Estimate!!Total!!65 years and over!!Has a computer!!With a broadband Internet subscription,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010097,SRPDIO:1000009,number of  people living in households,SRPDIO:1001079,65 years and over,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001060,without an Internet subscription,B28005_018E,Estimate!!Total!!65 years and over!!Has a computer!!Without an Internet subscription,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010098,SRPDIO:1000009,number of  people living in households,SRPDIO:1001079,65 years and over,SRPDIO:1001113,no computer,SRPDIO:1001005,internet access,B28005_019E,Estimate!!Total!!65 years and over!!No computer,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
