defined_class,count,var1,var1_label,var2,var2_label,var3,var3_label,acs_var_id,acs_label,acs_concept
SRPDIO:2010035,SRPDIO:1000000,SRPDIO:1001008,age category,SRPDIO:1001001,disability status,SRPDIO:1001020,health insurance coverage,B18135_001E,Estimate!!Total,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010036,SRPDIO:1000000,SRPDIO:1001179,under 19 years,SRPDIO:1001001,disability status,SRPDIO:1001020,health insurance coverage,B18135_002E,Estimate!!Total!!Under 19 years,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010037,SRPDIO:1000000,SRPDIO:1001179,under 19 years,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001020,health insurance coverage,B18135_003E,Estimate!!Total!!Under 19 years!!With a disability,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010038,SRPDIO:1000000,SRPDIO:1001179,under 19 years,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001115,with health insurance coverage,B18135_004E,Estimate!!Total!!Under 19 years!!With a disability!!With health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010039,SRPDIO:1000000,SRPDIO:1001179,under 19 years,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001117,with private health insurance coverage,B18135_005E,Estimate!!Total!!Under 19 years!!With a disability!!With health insurance coverage!!With private health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010040,SRPDIO:1000000,SRPDIO:1001179,under 19 years,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001118,with public health coverage,B18135_006E,Estimate!!Total!!Under 19 years!!With a disability!!With health insurance coverage!!With public health coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010041,SRPDIO:1000000,SRPDIO:1001179,under 19 years,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001116,no health insurance coverage,B18135_007E,Estimate!!Total!!Under 19 years!!With a disability!!No health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010042,SRPDIO:1000000,SRPDIO:1001179,under 19 years,SRPDIO:1001034,no disability,SRPDIO:1001020,health insurance coverage,B18135_008E,Estimate!!Total!!Under 19 years!!No disability,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010043,SRPDIO:1000000,SRPDIO:1001179,under 19 years,SRPDIO:1001034,no disability,SRPDIO:1001115,with health insurance coverage,B18135_009E,Estimate!!Total!!Under 19 years!!No disability!!With health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010044,SRPDIO:1000000,SRPDIO:1001179,under 19 years,SRPDIO:1001034,no disability,SRPDIO:1001117,with private health insurance coverage,B18135_010E,Estimate!!Total!!Under 19 years!!No disability!!With health insurance coverage!!With private health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
