defined_class,count,var1,var1_label,var2,var2_label,var3,var3_label,acs_var_id,acs_label,acs_concept
SRPDIO:2010069,SRPDIO:1000006,SRPDIO:1001001,disability status,SRPDIO:1001010,grandparent responsibility for grandchildren,SRPDIO:1001008,age category,B10052_001E,Estimate!!Total,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
SRPDIO:2010070,SRPDIO:1000006,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001010,grandparent responsibility for grandchildren,SRPDIO:1001008,age category,B10052_002E,Estimate!!Total!!With any disability,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
SRPDIO:2010071,SRPDIO:1000006,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001094,grandparent responsible for own grandchildren under 18 years,SRPDIO:1001008,age category,B10052_003E,Estimate!!Total!!With any disability!!Grandparent responsible for own grandchildren under 18 years,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
SRPDIO:2010072,SRPDIO:1000006,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001094,grandparent responsible for own grandchildren under 18 years,SRPDIO:1001083,grandparent age 30 to 59 years,B10052_004E,Estimate!!Total!!With any disability!!Grandparent responsible for own grandchildren under 18 years!!30 to 59 years,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
SRPDIO:2010073,SRPDIO:1000006,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001094,grandparent responsible for own grandchildren under 18 years,SRPDIO:1001084,grandparent age 60 years and over,B10052_005E,Estimate!!Total!!With any disability!!Grandparent responsible for own grandchildren under 18 years!!60 years and over,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
SRPDIO:2010074,SRPDIO:1000006,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001095,grandparent not responsible for own grandchildren under 18 years,SRPDIO:1001008,age category,B10052_006E,Estimate!!Total!!With any disability!!Grandparent not responsible for own grandchildren under 18 years,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
SRPDIO:2010075,SRPDIO:1000006,SRPDIO:1001034,no disability,SRPDIO:1001010,grandparent responsibility for grandchildren,SRPDIO:1001008,age category,B10052_007E,Estimate!!Total!!No disability,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
SRPDIO:2010076,SRPDIO:1000006,SRPDIO:1001034,no disability,SRPDIO:1001094,grandparent responsible for own grandchildren under 18 years,SRPDIO:1001008,age category,B10052_008E,Estimate!!Total!!No disability!!Grandparent responsible for own grandchildren under 18 years,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
SRPDIO:2010077,SRPDIO:1000006,SRPDIO:1001034,no disability,SRPDIO:1001094,grandparent responsible for own grandchildren under 18 years,SRPDIO:1001083,grandparent age 30 to 59 years,B10052_009E,Estimate!!Total!!No disability!!Grandparent responsible for own grandchildren under 18 years!!30 to 59 years,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
SRPDIO:2010078,SRPDIO:1000006,SRPDIO:1001034,no disability,SRPDIO:1001094,grandparent responsible for own grandchildren under 18 years,SRPDIO:1001084,grandparent age 60 years and over,B10052_010E,Estimate!!Total!!No disability!!Grandparent responsible for own grandchildren under 18 years!!60 years and over,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
SRPDIO:2010079,SRPDIO:1000006,SRPDIO:1001034,no disability,SRPDIO:1001095,grandparent not responsible for own grandchildren under 18 years,SRPDIO:1001008,age category,B10052_011E,Estimate!!Total!!No disability!!Grandparent not responsible for own grandchildren under 18 years,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
