defined_class,datum,var1,var1_label,var2,var2_label,var3,var3_label,acs_var_id,acs_label,acs_concept
SRPDIO:2010099,SRPDIO:1000000,SRPDIO:1001002,educational attainment,SRPDIO:1001006,computing device status,SRPDIO:1001005,internet access,B28006_001E,Estimate!!Total,EDUCATIONAL ATTAINMENT BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010100,SRPDIO:1000000,SRPDIO:1001038,less than high school graduate or equivalency,SRPDIO:1001006,computing device status,SRPDIO:1001005,internet access,B28006_002E,Estimate!!Total!!Less than high school graduate or equivalency,EDUCATIONAL ATTAINMENT BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010101,SRPDIO:1000000,SRPDIO:1001038,less than high school graduate or equivalency,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001005,internet access,B28006_003E,Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer,EDUCATIONAL ATTAINMENT BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010102,SRPDIO:1000000,SRPDIO:1001038,less than high school graduate or equivalency,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001056,with dial-up Internet subscription alone/Dial-up with no other type of Internet subscription,B28006_004E,Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!With dial-up Internet subscription alone,EDUCATIONAL ATTAINMENT BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010103,SRPDIO:1000000,SRPDIO:1001038,less than high school graduate or equivalency,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001054,with a broadband Internet subscription/broadband of any type,B28006_005E,Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!With a broadband Internet subscription,EDUCATIONAL ATTAINMENT BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010104,SRPDIO:1000000,SRPDIO:1001038,less than high school graduate or equivalency,SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001060,without an Internet subscription,B28006_006E,Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!Without an Internet subscription,EDUCATIONAL ATTAINMENT BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010105,SRPDIO:1000000,SRPDIO:1001037,high school graduate (includes equivalency),SRPDIO:1001113,no computer,SRPDIO:1001005,internet access,B28006_007E,Estimate!!Total!!Less than high school graduate or equivalency!!No computer,EDUCATIONAL ATTAINMENT BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010106,SRPDIO:1000000,SRPDIO:1001186,"high school graduate (includes equivalency), some college or associate's degree",SRPDIO:1001006,computing device status,SRPDIO:1001005,internet access,B28006_008E,"Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree",EDUCATIONAL ATTAINMENT BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010107,SRPDIO:1000000,SRPDIO:1001186,"high school graduate (includes equivalency), some college or associate's degree",SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001005,internet access,B28006_009E,"Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer",EDUCATIONAL ATTAINMENT BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010108,SRPDIO:1000000,SRPDIO:1001186,"high school graduate (includes equivalency), some college or associate's degree",SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001056,with dial-up Internet subscription alone/Dial-up with no other type of Internet subscription,B28006_010E,"Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With dial-up Internet subscription alone",EDUCATIONAL ATTAINMENT BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010109,SRPDIO:1000000,SRPDIO:1001186,"high school graduate (includes equivalency), some college or associate's degree",SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001054,with a broadband Internet subscription/broadband of any type,B28006_011E,"Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With a broadband Internet subscription",EDUCATIONAL ATTAINMENT BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
SRPDIO:2010110,SRPDIO:1000000,SRPDIO:1001186,"high school graduate (includes equivalency), some college or associate's degree",SRPDIO:1001112,has one or more types of computing devices,SRPDIO:1001060,without an Internet subscription,B28006_012E,"Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!Without an Internet subscription",EDUCATIONAL ATTAINMENT BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD
