defined_class,datum,var1,var1_label,var2,var2_label,var3,var3_label,acs_var_id,acs_label,acs_concept
SRPDIO:2010647,SRPDIO:1000000,SRPDIO:1001024,labor force status,SRPDIO:1001003,employment status,SRPDIO:1001001,disability status,C18120_001E,Estimate!!Total,EMPLOYMENT STATUS BY DISABILITY STATUS
SRPDIO:2010648,SRPDIO:1000000,SRPDIO:1001114,in labor force,SRPDIO:1001003,employment status,SRPDIO:1001001,disability status,C18120_002E,Estimate!!Total!!In the labor force,EMPLOYMENT STATUS BY DISABILITY STATUS
SRPDIO:2010649,SRPDIO:1000000,SRPDIO:1001114,in labor force,SRPDIO:1001043,employed,SRPDIO:1001001,disability status,C18120_003E,Estimate!!Total!!In the labor force!!Employed,EMPLOYMENT STATUS BY DISABILITY STATUS
SRPDIO:2010650,SRPDIO:1000000,SRPDIO:1001114,in labor force,SRPDIO:1001043,employed,SRPDIO:1001035,with a disability/with any disability,C18120_004E,Estimate!!Total!!In the labor force!!Employed!!With a disability,EMPLOYMENT STATUS BY DISABILITY STATUS
SRPDIO:2010651,SRPDIO:1000000,SRPDIO:1001114,in labor force,SRPDIO:1001043,employed,SRPDIO:1001034,no disability,C18120_005E,Estimate!!Total!!In the labor force!!Employed!!No disability,EMPLOYMENT STATUS BY DISABILITY STATUS
SRPDIO:2010652,SRPDIO:1000000,SRPDIO:1001114,in labor force,SRPDIO:1001044,unemployed,SRPDIO:1001001,disability status,C18120_006E,Estimate!!Total!!In the labor force!!Unemployed,EMPLOYMENT STATUS BY DISABILITY STATUS
SRPDIO:2010653,SRPDIO:1000000,SRPDIO:1001114,in labor force,SRPDIO:1001044,unemployed,SRPDIO:1001035,with a disability/with any disability,C18120_007E,Estimate!!Total!!In the labor force!!Unemployed!!With a disability,EMPLOYMENT STATUS BY DISABILITY STATUS
SRPDIO:2010654,SRPDIO:1000000,SRPDIO:1001114,in labor force,SRPDIO:1001044,unemployed,SRPDIO:1001034,no disability,C18120_008E,Estimate!!Total!!In the labor force!!Unemployed!!No disability,EMPLOYMENT STATUS BY DISABILITY STATUS
SRPDIO:2010655,SRPDIO:1000000,SRPDIO:1001128,not in labor force,SRPDIO:1001187,not employed because not in labor force,SRPDIO:1001001,disability status,C18120_009E,Estimate!!Total!!Not in labor force,EMPLOYMENT STATUS BY DISABILITY STATUS
SRPDIO:2010656,SRPDIO:1000000,SRPDIO:1001128,not in labor force,SRPDIO:1001187,not employed because not in labor force,SRPDIO:1001035,with a disability/with any disability,C18120_010E,Estimate!!Total!!Not in labor force!!With a disability,EMPLOYMENT STATUS BY DISABILITY STATUS
SRPDIO:2010657,SRPDIO:1000000,SRPDIO:1001128,not in labor force,SRPDIO:1001187,not employed because not in labor force,SRPDIO:1001034,no disability,C18120_011E,Estimate!!Total!!Not in labor force!!No disability,EMPLOYMENT STATUS BY DISABILITY STATUS
