defined_class,defined_class_label,chemical,chemical_label,material,material_label
SRPDIO:2020000,,CHEBI:33628,elemental aluminium,ENVO:00010483,environmental material
SRPDIO:2020001,,CHEBI:36922,elemental antimony,ENVO:00010483,environmental material
SRPDIO:2020002,,CHEBI:35826,elemental arsenic,ENVO:00010483,environmental material
SRPDIO:2020003,,CHEBI:37134,elemental barium,ENVO:00010483,environmental material
SRPDIO:2020004,,CHEBI:33784,elemental beryllium,ENVO:00010483,environmental material
SRPDIO:2020005,,CHEBI:85541,elemental bismuth,ENVO:00010483,environmental material
SRPDIO:2020006,,CHEBI:33609,elemental boron,ENVO:00010483,environmental material
SRPDIO:2020007,,CHEBI:37249,elemental cadmium,ENVO:00010483,environmental material
SRPDIO:2020008,,CHEBI:155919,elemental caesium,ENVO:00010483,environmental material
SRPDIO:2020009,,CHEBI:35155,elemental calcium,ENVO:00010483,environmental material
SRPDIO:2020010,,CHEBI:37265,elemental cerium,ENVO:00010483,environmental material
SRPDIO:2020011,,CHEBI:155866,elemental chromium,ENVO:00010483,environmental material
SRPDIO:2020012,,CHEBI:155865,elemental cobalt,ENVO:00010483,environmental material
SRPDIO:2020013,,CHEBI:37404,elemental copper,ENVO:00010483,environmental material
SRPDIO:2020014,,CHEBI:155920,elemental gallium,ENVO:00010483,environmental material
SRPDIO:2020015,,CHEBI:33970,elemental gold,ENVO:00010483,environmental material
SRPDIO:2020016,,CHEBI:37114,elemental indium,ENVO:00010483,environmental material
SRPDIO:2020017,,CHEBI:82663,elemental iron,ENVO:00010483,environmental material
SRPDIO:2020018,,CHEBI:155921,elemental lanthanum,ENVO:00010483,environmental material
SRPDIO:2020019,,CHEBI:37193,elemental lead,ENVO:00010483,environmental material
SRPDIO:2020020,,CHEBI:155867,elemental lithium,ENVO:00010483,environmental material
SRPDIO:2020021,,CHEBI:33973,elemental magnesium,ENVO:00010483,environmental material
SRPDIO:2020022,,CHEBI:35115,elemental manganese,ENVO:00010483,environmental material
SRPDIO:2020023,,CHEBI:35113,elemental mercury,ENVO:00010483,environmental material
SRPDIO:2020024,,CHEBI:37237,elemental molybdenum,ENVO:00010483,environmental material
SRPDIO:2020025,,CHEBI:155868,elemental nickel,ENVO:00010483,environmental material
SRPDIO:2020026,,CHEBI:155922,elemental niobium,ENVO:00010483,environmental material
SRPDIO:2020027,,CHEBI:33464,elemental phosphorus,ENVO:00010483,environmental material
SRPDIO:2020028,,CHEBI:37247,elemental potassium,ENVO:00010483,environmental material
SRPDIO:2020029,,CHEBI:155923,elemental rubidium,ENVO:00010483,environmental material
SRPDIO:2020288,,CHEBI:155869,elemental scandium,ENVO:00010483,environmental material
SRPDIO:2020030,,CHEBI:36904,elemental selenium,ENVO:00010483,environmental material
SRPDIO:2020031,,CHEBI:37763,elemental silicon,ENVO:00010483,environmental material
SRPDIO:2020032,,CHEBI:33966,elemental silver,ENVO:00010483,environmental material
SRPDIO:2020033,,CHEBI:37246,elemental sodium,ENVO:00010483,environmental material
