defined_class,defined_class_label,entity,entity_label,plant_part,plant_part_label
SRPDIO:2000000,,CHEBI:33628,elemental aluminium,PO:0009006,shoot system
SRPDIO:2000001,,CHEBI:36922,elemental antimony,PO:0009006,shoot system
SRPDIO:2000002,,CHEBI:35826,elemental arsenic,PO:0009006,shoot system
SRPDIO:2000003,,CHEBI:37134,elemental barium,PO:0009006,shoot system
SRPDIO:2000004,,CHEBI:33784,elemental beryllium,PO:0009006,shoot system
SRPDIO:2000005,,CHEBI:85541,elemental bismuth,PO:0009006,shoot system
SRPDIO:2000006,,CHEBI:33609,elemental boron,PO:0009006,shoot system
SRPDIO:2000007,,CHEBI:37249,elemental cadmium,PO:0009006,shoot system
SRPDIO:2000008,,CHEBI:155919,elemental caesium,PO:0009006,shoot system
SRPDIO:2000009,,CHEBI:35155,elemental calcium,PO:0009006,shoot system
SRPDIO:2000010,,CHEBI:37265,elemental cerium,PO:0009006,shoot system
SRPDIO:2000011,,CHEBI:155866,elemental chromium,PO:0009006,shoot system
SRPDIO:2000012,,CHEBI:155865,elemental cobalt,PO:0009006,shoot system
SRPDIO:2000013,,CHEBI:37404,elemental copper,PO:0009006,shoot system
SRPDIO:2000014,,CHEBI:155920,elemental gallium,PO:0009006,shoot system
SRPDIO:2000015,,CHEBI:33970,elemental gold,PO:0009006,shoot system
SRPDIO:2000016,,CHEBI:37114,elemental indium,PO:0009006,shoot system
SRPDIO:2000017,,CHEBI:82663,elemental iron,PO:0009006,shoot system
SRPDIO:2000018,,CHEBI:155921,elemental lanthanum,PO:0009006,shoot system
SRPDIO:2000019,,CHEBI:37193,elemental lead,PO:0009006,shoot system
SRPDIO:2000020,,CHEBI:155867,elemental lithium,PO:0009006,shoot system
SRPDIO:2000021,,CHEBI:33973,elemental magnesium,PO:0009006,shoot system
SRPDIO:2000022,,CHEBI:35115,elemental manganese,PO:0009006,shoot system
SRPDIO:2000023,,CHEBI:35113,elemental mercury,PO:0009006,shoot system
SRPDIO:2000024,,CHEBI:37237,elemental molybdenum,PO:0009006,shoot system
SRPDIO:2000025,,CHEBI:155868,elemental nickel,PO:0009006,shoot system
SRPDIO:2000026,,CHEBI:155922,elemental niobium,PO:0009006,shoot system
SRPDIO:2000027,,CHEBI:33464,elemental phosphorus,PO:0009006,shoot system
SRPDIO:2000028,,CHEBI:37247,elemental potassium,PO:0009006,shoot system
SRPDIO:2000029,,CHEBI:155923,elemental rubidium,PO:0009006,shoot system
SRPDIO:2000030,,CHEBI:36904,elemental selenium,PO:0009006,shoot system
SRPDIO:2000031,,CHEBI:37763,elemental silicon,PO:0009006,shoot system
SRPDIO:2000032,,CHEBI:33966,elemental silver,PO:0009006,shoot system
SRPDIO:2000033,,CHEBI:37246,elemental sodium,PO:0009006,shoot system
SRPDIO:2000034,,CHEBI:39131,elemental strontium,PO:0009006,shoot system
SRPDIO:2000035,,CHEBI:33403,elemental sulfur,PO:0009006,shoot system
SRPDIO:2000036,,CHEBI:36660,elemental tellurium,PO:0009006,shoot system
SRPDIO:2000037,,CHEBI:37113,elemental thallium,PO:0009006,shoot system
SRPDIO:2000038,,CHEBI:155924,elemental thorium,PO:0009006,shoot system
SRPDIO:2000039,,CHEBI:37767,elemental tin,PO:0009006,shoot system
SRPDIO:2000040,,CHEBI:155870,elemental titanium,PO:0009006,shoot system
SRPDIO:2000041,,CHEBI:131925,elemental tungsten,PO:0009006,shoot system
SRPDIO:2000042,,CHEBI:50559,elemental uranium,PO:0009006,shoot system
SRPDIO:2000043,,CHEBI:35171,elemental vanadium,PO:0009006,shoot system
SRPDIO:2000044,,CHEBI:155925,elemental yttrium,PO:0009006,shoot system
SRPDIO:2000045,,CHEBI:37253,elemental zinc,PO:0009006,shoot system
SRPDIO:2000046,,CHEBI:33628,elemental aluminium,PO:0009011,plant structure
SRPDIO:2000047,,CHEBI:36922,elemental antimony,PO:0009011,plant structure
SRPDIO:2000048,,CHEBI:35826,elemental arsenic,PO:0009011,plant structure
SRPDIO:2000049,,CHEBI:37134,elemental barium,PO:0009011,plant structure
SRPDIO:2000050,,CHEBI:33784,elemental beryllium,PO:0009011,plant structure
SRPDIO:2000051,,CHEBI:85541,elemental bismuth,PO:0009011,plant structure
SRPDIO:2000052,,CHEBI:33609,elemental boron,PO:0009011,plant structure
SRPDIO:2000053,,CHEBI:37249,elemental cadmium,PO:0009011,plant structure
SRPDIO:2000054,,CHEBI:155919,elemental caesium,PO:0009011,plant structure
SRPDIO:2000055,,CHEBI:35155,elemental calcium,PO:0009011,plant structure
